gender,match,age,race,field,career,from,goal,int_corr,samerace,imprace,imprelig,age_o,race_o,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,0.14,0,7.0,3.0,21.0,4.0,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,2.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,0.29,1,7.0,3.0,24.0,2.0,0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0,2.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,-0.24,1,7.0,3.0,25.0,2.0,0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,1.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,-0.18,1,7.0,3.0,23.0,2.0,0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0,2.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,-0.43,1,7.0,3.0,21.0,2.0,0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0,2.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,0.33,0,7.0,3.0,23.0,4.0,1,6.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,2.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,0.19,0,7.0,3.0,22.0,4.0,0,4.0,8.0,8.0,5.0,7.0,4.0,7.0,4.0,2.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,-0.03,1,7.0,3.0,25.0,2.0,1,5.0,8.0,7.0,4.0,7.0,5.0,4.0,5.0,2.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,0.19,0,7.0,3.0,26.0,6.0,1,8.0,10.0,9.0,8.0,7.0,6.0,5.0,5.0,2.0
1,0,27.0,2.0,Finance,"Academia, Research, Banking, Life",Argentina,1.0,0.3,1,7.0,3.0,26.0,2.0,0,6.0,10.0,10.0,6.0,6.0,,6.0,3.0,2.0
1,0,22.0,2.0,Law,Corporate Lawyer,England,1.0,0.54,0,1.0,1.0,21.0,4.0,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1.0
1,0,22.0,2.0,Law,Corporate Lawyer,England,1.0,0.18,1,1.0,1.0,24.0,2.0,0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,2.0
1,0,22.0,2.0,Law,Corporate Lawyer,England,1.0,-0.14,1,1.0,1.0,25.0,2.0,0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,2.0
1,0,22.0,2.0,Law,Corporate Lawyer,England,1.0,-0.18,1,1.0,1.0,23.0,2.0,0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,1.0
1,0,22.0,2.0,Law,Corporate Lawyer,England,1.0,0.0,1,1.0,1.0,21.0,2.0,0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,1.0
1,0,22.0,2.0,Law,Corporate Lawyer,England,1.0,0.37,0,1.0,1.0,23.0,4.0,1,6.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0,2.0
1,0,22.0,2.0,Law,Corporate Lawyer,England,1.0,0.21,0,1.0,1.0,22.0,4.0,0,6.0,6.0,8.0,4.0,9.0,4.0,7.0,3.0,1.0
1,1,22.0,2.0,Law,Corporate Lawyer,England,1.0,-0.11,1,1.0,1.0,25.0,2.0,1,8.0,7.0,7.0,9.0,6.0,7.0,8.0,7.0,2.0
1,1,22.0,2.0,Law,Corporate Lawyer,England,1.0,0.03,0,1.0,1.0,26.0,6.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,2.0
1,0,22.0,2.0,Law,Corporate Lawyer,England,1.0,0.65,1,1.0,1.0,26.0,2.0,0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
1,1,22.0,4.0,Law,Lawyer,Southern California,2.0,0.16,1,3.0,5.0,21.0,4.0,1,5.0,8.0,9.0,8.0,5.0,7.0,7.0,,1.0
1,0,22.0,4.0,Law,Lawyer,Southern California,2.0,0.1,0,3.0,5.0,24.0,2.0,0,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0,2.0
1,0,22.0,4.0,Law,Lawyer,Southern California,2.0,0.09,0,3.0,5.0,25.0,2.0,0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,2.0
1,0,22.0,4.0,Law,Lawyer,Southern California,2.0,0.05,0,3.0,5.0,23.0,2.0,0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0,2.0
1,0,22.0,4.0,Law,Lawyer,Southern California,2.0,-0.17,0,3.0,5.0,21.0,2.0,0,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0,1.0
1,0,22.0,4.0,Law,Lawyer,Southern California,2.0,-0.51,1,3.0,5.0,23.0,4.0,0,4.0,7.0,9.0,4.0,3.0,2.0,6.0,2.0,1.0
1,0,22.0,4.0,Law,Lawyer,Southern California,2.0,0.52,1,3.0,5.0,22.0,4.0,0,3.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,1.0
1,1,22.0,4.0,Law,Lawyer,Southern California,2.0,0.42,0,3.0,5.0,25.0,2.0,1,5.0,8.0,8.0,6.0,7.0,7.0,5.0,5.0,2.0
1,1,22.0,4.0,Law,Lawyer,Southern California,2.0,0.68,0,3.0,5.0,26.0,6.0,1,5.0,10.0,10.0,6.0,6.0,6.0,8.0,5.0,2.0
1,1,22.0,4.0,Law,Lawyer,Southern California,2.0,-0.15,0,3.0,5.0,26.0,2.0,1,6.0,10.0,10.0,10.0,6.0,,7.0,6.0,2.0
1,1,23.0,2.0,Law,Corporate attorney,"Cincinnati, Ohio",2.0,0.61,0,1.0,1.0,21.0,4.0,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,2.0
1,1,23.0,2.0,Law,Corporate attorney,"Cincinnati, Ohio",2.0,-0.21,1,1.0,1.0,24.0,2.0,1,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0,2.0
1,0,23.0,2.0,Law,Corporate attorney,"Cincinnati, Ohio",2.0,-0.04,1,1.0,1.0,25.0,2.0,0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,2.0
1,1,23.0,2.0,Law,Corporate attorney,"Cincinnati, Ohio",2.0,-0.18,1,1.0,1.0,23.0,2.0,1,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,1.0
1,1,23.0,2.0,Law,Corporate attorney,"Cincinnati, Ohio",2.0,0.08,1,1.0,1.0,21.0,2.0,1,8.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0,1.0
1,1,23.0,2.0,Law,Corporate attorney,"Cincinnati, Ohio",2.0,0.12,0,1.0,1.0,23.0,4.0,1,8.0,6.0,7.0,8.0,2.0,8.0,9.0,4.0,2.0
1,1,23.0,2.0,Law,Corporate attorney,"Cincinnati, Ohio",2.0,-0.46,0,1.0,1.0,22.0,4.0,1,7.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,1.0
