gender,match,age,race,field,career,from,goal,int_corr,samerace,imprace,imprelig,age_o,race_o,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o
0,0,21.0,4.0,Law,lawyer,Chicago,2.0,0.14,0,2.0,4.0,27.0,2.0,0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,2.0
0,0,21.0,4.0,Law,lawyer,Chicago,2.0,0.54,0,2.0,4.0,22.0,2.0,0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,2.0
0,1,21.0,4.0,Law,lawyer,Chicago,2.0,0.16,1,2.0,4.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
0,1,21.0,4.0,Law,lawyer,Chicago,2.0,0.61,0,2.0,4.0,23.0,2.0,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,2.0
0,1,21.0,4.0,Law,lawyer,Chicago,2.0,0.21,0,2.0,4.0,24.0,3.0,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,2.0
0,0,21.0,4.0,Law,lawyer,Chicago,2.0,0.25,0,2.0,4.0,25.0,2.0,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,2.0
0,0,21.0,4.0,Law,lawyer,Chicago,2.0,0.34,0,2.0,4.0,30.0,2.0,0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,2.0
0,0,21.0,4.0,Law,lawyer,Chicago,2.0,0.5,0,2.0,4.0,27.0,2.0,0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,2.0
0,1,21.0,4.0,Law,lawyer,Chicago,2.0,0.28,0,2.0,4.0,28.0,2.0,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,2.0
0,0,21.0,4.0,Law,lawyer,Chicago,2.0,-0.36,0,2.0,4.0,24.0,2.0,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0
0,0,24.0,2.0,law,law,Alabama,1.0,0.29,1,2.0,5.0,27.0,2.0,0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,2.0
0,0,24.0,2.0,law,law,Alabama,1.0,0.18,1,2.0,5.0,22.0,2.0,0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,4.0,2.0
0,0,24.0,2.0,law,law,Alabama,1.0,0.1,0,2.0,5.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0
0,1,24.0,2.0,law,law,Alabama,1.0,-0.21,1,2.0,5.0,23.0,2.0,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,2.0
0,0,24.0,2.0,law,law,Alabama,1.0,0.32,0,2.0,5.0,24.0,3.0,1,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1.0,1.0
0,0,24.0,2.0,law,law,Alabama,1.0,0.73,1,2.0,5.0,25.0,2.0,1,7.0,8.0,7.0,5.0,7.0,7.0,7.0,5.0,2.0
0,0,24.0,2.0,law,law,Alabama,1.0,0.6,1,2.0,5.0,30.0,2.0,0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0
0,0,24.0,2.0,law,law,Alabama,1.0,0.07,1,2.0,5.0,27.0,2.0,1,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,2.0
0,1,24.0,2.0,law,law,Alabama,1.0,0.11,1,2.0,5.0,28.0,2.0,1,8.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,2.0
0,0,24.0,2.0,law,law,Alabama,1.0,0.39,1,2.0,5.0,24.0,2.0,0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,9.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,-0.24,1,8.0,4.0,27.0,2.0,0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,1.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,-0.14,1,8.0,4.0,22.0,2.0,0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,0.09,0,8.0,4.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,-0.04,1,8.0,4.0,23.0,2.0,1,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,-0.14,0,8.0,4.0,24.0,3.0,1,6.0,10.0,8.0,6.0,,,6.0,1.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,-0.3,1,8.0,4.0,25.0,2.0,1,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,-0.26,1,8.0,4.0,30.0,2.0,0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,0.29,1,8.0,4.0,27.0,2.0,0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,1.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,-0.15,1,8.0,4.0,28.0,2.0,1,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,2.0
0,0,25.0,2.0,Economics,Economist,Connecticut,6.0,-0.47,1,8.0,4.0,24.0,2.0,0,5.0,6.0,8.0,5.0,8.0,6.0,5.0,5.0,2.0
0,0,23.0,2.0,Law,lawyer/policy work,Texas,1.0,-0.18,1,1.0,1.0,27.0,2.0,0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,2.0
0,0,23.0,2.0,Law,lawyer/policy work,Texas,1.0,-0.18,1,1.0,1.0,22.0,2.0,0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0,1.0
0,0,23.0,2.0,Law,lawyer/policy work,Texas,1.0,0.05,0,1.0,1.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
0,1,23.0,2.0,Law,lawyer/policy work,Texas,1.0,-0.18,1,1.0,1.0,23.0,2.0,1,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,1.0
0,0,23.0,2.0,Law,lawyer/policy work,Texas,1.0,0.21,0,1.0,1.0,24.0,3.0,1,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,2.0
0,0,23.0,2.0,Law,lawyer/policy work,Texas,1.0,0.37,1,1.0,1.0,25.0,2.0,1,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,2.0
0,0,23.0,2.0,Law,lawyer/policy work,Texas,1.0,0.35,1,1.0,1.0,30.0,2.0,1,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0,2.0
0,0,23.0,2.0,Law,lawyer/policy work,Texas,1.0,0.15,1,1.0,1.0,27.0,2.0,0,6.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0,2.0
0,1,23.0,2.0,Law,lawyer/policy work,Texas,1.0,-0.47,1,1.0,1.0,28.0,2.0,1,7.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0,2.0
0,0,23.0,2.0,Law,lawyer/policy work,Texas,1.0,-0.19,1,1.0,1.0,24.0,2.0,0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,2.0
0,0,21.0,2.0,Law,lawyer,Bowdoin College,2.0,-0.43,1,8.0,1.0,27.0,2.0,0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,2.0
0,0,21.0,2.0,Law,lawyer,Bowdoin College,2.0,0.0,1,8.0,1.0,22.0,2.0,0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0,1.0
0,0,21.0,2.0,Law,lawyer,Bowdoin College,2.0,-0.17,0,8.0,1.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
0,1,21.0,2.0,Law,lawyer,Bowdoin College,2.0,0.08,1,8.0,1.0,23.0,2.0,1,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0,1.0
0,0,21.0,2.0,Law,lawyer,Bowdoin College,2.0,-0.16,0,8.0,1.0,24.0,3.0,0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,2.0
0,0,21.0,2.0,Law,lawyer,Bowdoin College,2.0,0.06,1,8.0,1.0,25.0,2.0,0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,2.0
0,0,21.0,2.0,Law,lawyer,Bowdoin College,2.0,-0.05,1,8.0,1.0,30.0,2.0,0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0
0,0,21.0,2.0,Law,lawyer,Bowdoin College,2.0,0.07,1,8.0,1.0,27.0,2.0,0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,2.0
0,1,21.0,2.0,Law,lawyer,Bowdoin College,2.0,-0.13,1,8.0,1.0,28.0,2.0,1,5.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,2.0
0,0,21.0,2.0,Law,lawyer,Bowdoin College,2.0,-0.06,1,8.0,1.0,24.0,2.0,0,3.0,10.0,7.0,7.0,10.0,5.0,4.0,10.0,2.0
0,0,23.0,4.0,law,lawyer,MD,1.0,0.33,0,1.0,1.0,27.0,2.0,0,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,2.0
0,0,23.0,4.0,law,lawyer,MD,1.0,0.37,0,1.0,1.0,22.0,2.0,0,6.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0,2.0
0,0,23.0,4.0,law,lawyer,MD,1.0,-0.51,1,1.0,1.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
0,1,23.0,4.0,law,lawyer,MD,1.0,0.12,0,1.0,1.0,23.0,2.0,1,6.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,2.0
0,0,23.0,4.0,law,lawyer,MD,1.0,0.35,0,1.0,1.0,24.0,3.0,1,9.0,7.0,9.0,7.0,9.0,6.0,9.0,2.0,1.0
0,0,23.0,4.0,law,lawyer,MD,1.0,0.19,0,1.0,1.0,25.0,2.0,1,6.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,2.0
0,0,23.0,4.0,law,lawyer,MD,1.0,0.47,0,1.0,1.0,30.0,2.0,0,5.0,6.0,8.0,4.0,5.0,4.0,3.0,3.0,2.0
0,0,23.0,4.0,law,lawyer,MD,1.0,0.03,0,1.0,1.0,27.0,2.0,0,6.0,7.0,8.0,7.0,8.0,5.0,7.0,6.0,2.0
0,1,23.0,4.0,law,lawyer,MD,1.0,0.46,0,1.0,1.0,28.0,2.0,1,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,2.0
0,0,23.0,4.0,law,lawyer,MD,1.0,0.43,0,1.0,1.0,24.0,2.0,0,7.0,10.0,10.0,6.0,10.0,7.0,6.0,7.0,2.0
0,0,22.0,4.0,Law,Law,Southern California,1.0,0.19,0,2.0,4.0,27.0,2.0,0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,2.0
0,0,22.0,4.0,Law,Law,Southern California,1.0,0.21,0,2.0,4.0,22.0,2.0,1,7.0,9.0,10.0,6.0,6.0,5.0,8.0,4.0,1.0
0,0,22.0,4.0,Law,Law,Southern California,1.0,0.52,1,2.0,4.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
0,1,22.0,4.0,Law,Law,Southern California,1.0,-0.46,0,2.0,4.0,23.0,2.0,1,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,1.0
0,0,22.0,4.0,Law,Law,Southern California,1.0,-0.27,0,2.0,4.0,24.0,3.0,1,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,2.0
0,0,22.0,4.0,Law,Law,Southern California,1.0,0.59,0,2.0,4.0,25.0,2.0,1,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,2.0
0,0,22.0,4.0,Law,Law,Southern California,1.0,0.31,0,2.0,4.0,30.0,2.0,0,7.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0
0,0,22.0,4.0,Law,Law,Southern California,1.0,0.08,0,2.0,4.0,27.0,2.0,1,8.0,7.0,6.0,7.0,7.0,5.0,7.0,5.0,2.0
0,1,22.0,4.0,Law,Law,Southern California,1.0,-0.34,0,2.0,4.0,28.0,2.0,1,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,2.0
0,0,22.0,4.0,Law,Law,Southern California,1.0,-0.16,0,2.0,4.0,24.0,2.0,0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0,2.0
0,0,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,-0.03,1,1.0,1.0,27.0,2.0,0,8.0,7.0,6.0,6.0,6.0,5.0,7.0,4.0,2.0
0,1,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,-0.11,1,1.0,1.0,22.0,2.0,1,8.0,8.0,10.0,7.0,6.0,5.0,9.0,4.0,2.0
0,1,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,0.42,0,1.0,1.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0
0,1,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,-0.4,1,1.0,1.0,23.0,2.0,1,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,2.0
0,1,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,-0.23,0,1.0,1.0,24.0,3.0,1,9.0,9.0,8.0,9.0,,7.0,9.0,7.0,2.0
0,1,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,0.28,1,1.0,1.0,25.0,2.0,1,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,2.0
0,0,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,0.05,1,1.0,1.0,30.0,2.0,0,6.0,4.0,7.0,5.0,6.0,4.0,4.0,4.0,2.0
0,1,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,0.17,1,1.0,1.0,27.0,2.0,1,9.0,8.0,8.0,8.0,7.0,5.0,7.0,5.0,2.0
0,1,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,-0.47,1,1.0,1.0,28.0,2.0,1,8.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0,2.0
0,1,25.0,2.0,Masters in Public Administration,Journalist,"London, England",1.0,-0.21,1,1.0,1.0,24.0,2.0,1,8.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,2.0
0,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian","Palm Springs, California",1.0,0.19,0,1.0,1.0,27.0,2.0,0,6.0,8.0,7.0,8.0,7.0,5.0,6.0,4.0,2.0
0,1,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian","Palm Springs, California",1.0,0.03,0,1.0,1.0,22.0,2.0,1,8.0,8.0,10.0,7.0,6.0,5.0,8.0,4.0,2.0
0,1,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian","Palm Springs, California",1.0,0.68,0,1.0,1.0,22.0,4.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0
